date,total,nobl,growth
2014-01-02 00:00:00-05:00,1000000.0,700000.0,300000.0
2014-01-03 00:00:00-05:00,998634.6521845853,700800.3296526617,297834.3225319237
2014-01-06 00:00:00-05:00,995133.9455195335,698399.7342091091,296734.2113104244
2014-01-07 00:00:00-05:00,1001404.9890338817,701920.5865388832,299484.40249499853
2014-01-08 00:00:00-05:00,1000297.4589581278,700160.0029682232,300137.45598990464
2014-01-09 00:00:00-05:00,1000421.0910569007,701280.5746659905,299140.51639091014
2014-01-10 00:00:00-05:00,1005224.4471489429,705121.275526438,300103.1716225048
2014-01-13 00:00:00-05:00,991827.8157540184,696159.1417337796,295668.6740202388
2014-01-14 00:00:00-05:00,1003706.8761717132,702400.5954435526,301306.2807281606
2014-01-15 00:00:00-05:00,1006982.3112907914,703200.9250962143,303781.3861945771
2014-01-16 00:00:00-05:00,1006856.5221533693,703040.7647222182,303815.7574311511
2014-01-17 00:00:00-05:00,1001936.88228021,699839.9183288903,302096.9639513197
2014-01-21 00:00:00-05:00,1005360.4879429683,700960.3326208849,304400.1553220834
2014-01-22 00:00:00-05:00,1005510.8942281839,700320.0846393327,305190.8095888511
2014-01-23 00:00:00-05:00,996317.6715933408,692158.2017964496,304159.4697968912
2014-01-24 00:00:00-05:00,975933.0367571265,677754.9439466799,298178.0928104466
2014-01-27 00:00:00-05:00,970805.2277444297,675514.6662828964,295290.5614615333
2014-01-28 00:00:00-05:00,976714.6856874402,681596.0383215598,295118.6473658805
2014-01-29 00:00:00-05:00,965390.1360309911,673434.0767757901,291956.0592552011
2014-01-30 00:00:00-05:00,974788.1337667201,677435.0954160066,297353.03835071344
2014-01-31 00:00:00-05:00,970316.4957525735,673754.0827122363,296562.41304033715
2014-02-03 00:00:00-05:00,946386.2652181742,656630.3415367976,289755.9236813766
2014-02-04 00:00:00-05:00,951558.3176105551,659671.1456104589,291887.1720000961
2014-02-05 00:00:00-05:00,951441.7108516044,660310.763968919,291130.94688268524
2014-02-06 00:00:00-05:00,960435.9976257356,665592.4359780126,294843.5616477229
2014-02-07 00:00:00-05:00,974817.586955626,674714.4153331212,300103.1716225048
2014-02-10 00:00:00-05:00,977976.3121140039,676154.520750016,301821.79136398796
2014-02-11 00:00:00-05:00,988776.0113503814,683516.5461575565,305259.46519282495
2014-02-12 00:00:00-05:00,990000.3008311123,684156.3219217896,305843.97890932276
2014-02-13 00:00:00-05:00,996910.3296742879,688797.5885435581,308112.74113072973
2014-02-14 00:00:00-05:00,1000889.7120546857,692158.2017964496,308731.510258236
2014-02-18 00:00:00-05:00,1002402.3070714644,692158.2017964496,310244.10527501476
2014-02-19 00:00:00-05:00,997230.493016507,689117.7518857773,308112.74113072973
2014-02-20 00:00:00-05:00,1002995.1340281412,693438.5403537807,309556.5936743605
2014-02-21 00:00:00-05:00,1002582.5633636876,693438.5403537807,309144.0230099069
2014-02-24 00:00:00-05:00,1006152.9648005947,695358.8907840045,310794.07401659025
2014-02-25 00:00:00-05:00,1007249.5070912347,696799.2323095587,310450.27478167607
2014-02-26 00:00:00-05:00,1009535.3219725827,699359.9881271074,310175.3338454754
2014-02-27 00:00:00-05:00,1013948.3576610022,701760.58357066,312187.7740903422
2014-02-28 00:00:00-05:00,1017283.7008394651,705441.2027599978,311842.49807946733
2014-03-03 00:00:00-05:00,1009689.8409369439,700160.0029682232,309529.8379687207
2014-03-04 00:00:00-05:00,1022907.3034947568,709442.3788059873,313464.92468876945
2014-03-05 00:00:00-05:00,1022169.9463334267,707842.0343122098,314327.91202121694
2014-03-06 00:00:00-05:00,1023173.970380346,709122.215463768,314051.75491657807
2014-03-07 00:00:00-05:00,1022900.9722782196,710402.5540210991,312498.4182571206
2014-03-10 00:00:00-04:00,1022856.866547649,710082.2332731069,312774.6332745422
2014-03-11 00:00:00-04:00,1019590.5406342044,708162.1189515427,311428.4216826617
2014-03-12 00:00:00-04:00,1020764.1142206474,708162.1189515427,312601.9952691048
2014-03-13 00:00:00-04:00,1009143.9879541164,700960.3326208849,308183.6553332316
2014-03-14 00:00:00-04:00,1006718.0371274927,700640.0905757791,306077.9465517137
2014-03-17 00:00:00-04:00,1015652.3283255629,706882.016502871,308770.31182269193
2014-03-18 00:00:00-04:00,1021940.7970631078,709442.3788059873,312498.4182571206
2014-03-19 00:00:00-04:00,1014488.2952923604,703681.2488124296,310807.04647993075
2014-03-20 00:00:00-04:00,1017591.6100350865,705921.6051790997,311670.00485598686
2014-03-21 00:00:00-04:00,1012880.7253189213,704961.0364495554,307919.68886936584
2014-03-24 00:00:00-04:00,1006981.5367629428,701760.58357066,305220.9531922829
2014-03-25 00:00:00-04:00,1011665.4949137713,705441.2027599978,306224.2921537735
2014-03-26 00:00:00-04:00,1005632.5123231355,703352.428152697,302280.08417043847
2014-03-27 00:00:00-04:00,1002651.8930137218,702066.9739077445,300584.9191059772
2014-03-28 00:00:00-04:00,1007739.3915965795,706566.3392251814,301173.05237139814
2014-03-31 00:00:00-04:00,1016151.4553054788,712833.3713730618,303318.0839324169
2014-04-01 00:00:00-04:00,1022925.4973664845,714279.3795064429,308646.1178600416
