event_idx,date,decision,confidence,true_direction,future_5d_return,hypothetical_return,tokens,api_calls,elapsed,exact_match,directional_match
0,2020-03-04,LONG,0.558,SHORT,-0.12305824566541887,-0.12305824566541887,6063,10,0.0002906322479248047,False,False
1,2020-03-05,NEUTRAL,0.6475,SHORT,-0.17969335850036522,0.0,6215,10,0.0002644062042236328,False,
2,2020-03-10,SHORT,0.6825,SHORT,-0.12350037565505176,0.12350037565505176,5845,10,0.0002422332763671875,True,True
3,2020-03-13,LONG,0.636,SHORT,-0.14545716734936348,-0.14545716734936348,6549,10,0.0002391338348388672,False,False
4,2020-03-16,NEUTRAL,0.72,SHORT,-0.0649945551350788,0.0,6176,10,0.00025963783264160156,False,
5,2020-03-17,LONG,0.6271428571428571,SHORT,-0.032516623292939695,-0.032516623292939695,6113,10,0.00023937225341796875,False,False
6,2020-03-23,NEUTRAL,0.6759999999999999,LONG,0.17358120267108024,0.0,6308,10,0.00026345252990722656,False,
7,2020-03-30,LONG,0.6166666666666667,LONG,0.012268277119775146,0.012268277119775146,5710,10,0.00023937225341796875,True,True
8,2020-04-08,LONG,0.5833333333333334,LONG,0.01850173704413192,0.01850173704413192,5853,10,0.0002567768096923828,True,True
9,2020-05-18,LONG,0.5971428571428571,LONG,0.01383078343303995,0.01383078343303995,6236,10,0.000240325927734375,True,True
10,2020-06-24,SHORT,0.72,LONG,0.02114496092778959,-0.02114496092778959,6021,10,0.000247955322265625,False,False
11,2020-09-08,LONG,0.544,LONG,0.020888069042233632,0.020888069042233632,6243,10,0.0002722740173339844,True,True
12,2020-10-28,LONG,0.7366666666666667,LONG,0.05167429955077482,0.05167429955077482,5499,10,0.0002536773681640625,True,True
13,2021-03-01,SHORT,0.7075,SHORT,-0.020175402797441115,0.020175402797441115,5606,10,0.00024199485778808594,True,True
14,2022-01-28,LONG,0.664,LONG,0.015273191330005154,0.015273191330005154,5750,10,0.00030231475830078125,True,True
15,2022-05-05,LONG,0.688,SHORT,-0.05188364123357949,-0.05188364123357949,6413,10,0.0002467632293701172,False,False
16,2022-06-09,SHORT,0.685,SHORT,-0.08666310508409218,0.08666310508409218,5973,10,0.00024056434631347656,True,True
17,2022-06-16,LONG,0.616,LONG,0.06849881140634739,0.06849881140634739,5732,10,0.000270843505859375,True,True
18,2022-06-21,SHORT,0.6060000000000001,LONG,0.014877288270255183,-0.014877288270255183,5735,10,0.0002608299255371094,False,False
19,2022-07-27,LONG,0.66875,LONG,0.0334381672391989,0.0334381672391989,5807,10,0.0002384185791015625,True,True
20,2022-10-03,SHORT,0.6071428571428571,SHORT,-0.01797541099439446,0.01797541099439446,5947,10,0.00025463104248046875,True,True
21,2022-10-04,LONG,0.5725,SHORT,-0.053522659757496524,-0.053522659757496524,5951,10,0.0002753734588623047,False,False
22,2022-10-17,SHORT,0.7175,LONG,0.0328500008892587,-0.0328500008892587,6430,10,0.00027561187744140625,False,False
23,2022-11-10,LONG,0.65,NEUTRAL,-0.0011401179982830573,-0.0011401179982830573,6314,10,0.00024700164794921875,False,
24,2024-11-06,NEUTRAL,0.596,LONG,0.010405528535550287,0.0,5771,10,0.00024700164794921875,False,
25,2024-12-18,NEUTRAL,0.58,LONG,0.029139717238442803,0.0,6417,10,0.0002665519714355469,False,
26,2025-04-10,LONG,0.64,NEUTRAL,0.003488516187889601,0.003488516187889601,5781,10,0.0002422332763671875,False,
27,2025-04-22,LONG,0.7,LONG,0.05134207858549757,0.05134207858549757,6049,10,0.00024008750915527344,True,True
28,2025-10-10,LONG,0.575,LONG,0.01741147063534497,0.01741147063534497,5929,10,0.0002682209014892578,True,True
29,2026-03-31,SHORT,0.6559999999999999,LONG,0.03947163306905164,-0.03947163306905164,6008,10,0.0002422332763671875,False,False
