event_idx,date,decision,confidence,true_direction,future_5d_return,hypothetical_return,tokens,api_calls,elapsed,exact_match,directional_match
0,2020-03-04,SHORT,0.41,SHORT,-0.12305824566541887,0.12305824566541887,3839,6,0.0002713203430175781,True,True
1,2020-03-05,NEUTRAL,0.605,SHORT,-0.17969335850036522,0.0,3776,6,0.0001914501190185547,False,
2,2020-03-10,LONG,0.54,SHORT,-0.12350037565505176,-0.12350037565505176,3721,6,0.00018024444580078125,False,False
3,2020-03-13,SHORT,0.45999999999999996,SHORT,-0.14545716734936348,0.14545716734936348,4211,6,0.00017881393432617188,True,True
4,2020-03-16,NEUTRAL,0.55,SHORT,-0.0649945551350788,0.0,3478,6,0.00017833709716796875,False,
5,2020-03-17,NEUTRAL,0.595,SHORT,-0.032516623292939695,0.0,3668,6,0.00045490264892578125,False,
6,2020-03-23,NEUTRAL,0.84,LONG,0.17358120267108024,0.0,4232,6,0.00020956993103027344,False,
7,2020-03-30,LONG,0.8200000000000001,LONG,0.012268277119775146,0.012268277119775146,3735,6,0.0022928714752197266,True,True
8,2020-04-08,NEUTRAL,0.7350000000000001,LONG,0.01850173704413192,0.0,4009,6,0.00020599365234375,False,
9,2020-05-18,NEUTRAL,0.6699999999999999,LONG,0.01383078343303995,0.0,4336,6,0.00018024444580078125,False,
10,2020-06-24,LONG,0.64,LONG,0.02114496092778959,0.02114496092778959,3695,6,0.0001659393310546875,True,True
11,2020-09-08,LONG,0.8049999999999999,LONG,0.020888069042233632,0.020888069042233632,3750,6,0.00016570091247558594,True,True
12,2020-10-28,NEUTRAL,0.595,LONG,0.05167429955077482,0.0,3754,6,0.0001652240753173828,False,
13,2021-03-01,NEUTRAL,0.5549999999999999,SHORT,-0.020175402797441115,0.0,3546,6,0.00017142295837402344,False,
14,2022-01-28,SHORT,0.81,LONG,0.015273191330005154,-0.015273191330005154,3503,6,0.00016760826110839844,False,False
15,2022-05-05,LONG,0.61,SHORT,-0.05188364123357949,-0.05188364123357949,3586,6,0.00016641616821289062,False,False
16,2022-06-09,NEUTRAL,0.5,SHORT,-0.08666310508409218,0.0,3604,6,0.0001652240753173828,False,
17,2022-06-16,NEUTRAL,0.7,LONG,0.06849881140634739,0.0,3841,6,0.000171661376953125,False,
18,2022-06-21,LONG,0.6,LONG,0.014877288270255183,0.014877288270255183,3660,6,0.00016832351684570312,True,True
19,2022-07-27,LONG,0.5766666666666667,LONG,0.0334381672391989,0.0334381672391989,3704,6,0.000164031982421875,True,True
20,2022-10-03,LONG,0.775,SHORT,-0.01797541099439446,-0.01797541099439446,3322,6,0.000164031982421875,False,False
21,2022-10-04,SHORT,0.5549999999999999,SHORT,-0.053522659757496524,0.053522659757496524,3886,6,0.0001633167266845703,True,True
22,2022-10-17,LONG,0.575,LONG,0.0328500008892587,0.0328500008892587,3516,6,0.00016355514526367188,True,True
23,2022-11-10,SHORT,0.645,NEUTRAL,-0.0011401179982830573,0.0011401179982830573,4006,6,0.00018358230590820312,False,
24,2024-11-06,LONG,0.45,LONG,0.010405528535550287,0.010405528535550287,4062,6,0.00016355514526367188,True,True
25,2024-12-18,LONG,0.6433333333333334,LONG,0.029139717238442803,0.029139717238442803,3747,6,0.00016355514526367188,True,True
26,2025-04-10,SHORT,0.7,NEUTRAL,0.003488516187889601,-0.003488516187889601,3872,6,0.00016498565673828125,False,
27,2025-04-22,LONG,0.695,LONG,0.05134207858549757,0.05134207858549757,4377,6,0.0001633167266845703,True,True
28,2025-10-10,SHORT,0.59,LONG,0.01741147063534497,-0.01741147063534497,3551,6,0.00018262863159179688,False,False
29,2026-03-31,LONG,0.43000000000000005,LONG,0.03947163306905164,0.03947163306905164,3538,6,0.0002014636993408203,True,True
