event_idx,date,decision,confidence,true_direction,future_5d_return,hypothetical_return,tokens,api_calls,elapsed,exact_match,directional_match
0,2020-03-04,SHORT,0.7229605381011123,SHORT,-0.12305824566541887,0.12305824566541887,562,1,0.00045299530029296875,True,True
1,2020-03-05,LONG,0.6767328209119325,SHORT,-0.17969335850036522,-0.17969335850036522,694,1,6.890296936035156e-05,False,False
2,2020-03-10,NEUTRAL,0.5,SHORT,-0.12350037565505176,0.0,585,1,6.270408630371094e-05,False,
3,2020-03-13,LONG,0.5,SHORT,-0.14545716734936348,-0.14545716734936348,579,1,6.580352783203125e-05,False,False
4,2020-03-16,NEUTRAL,0.95,SHORT,-0.0649945551350788,0.0,642,1,6.008148193359375e-05,False,
5,2020-03-17,LONG,0.5,SHORT,-0.032516623292939695,-0.032516623292939695,708,1,5.602836608886719e-05,False,False
6,2020-03-23,LONG,0.5,LONG,0.17358120267108024,0.17358120267108024,664,1,5.555152893066406e-05,True,True
7,2020-03-30,NEUTRAL,0.5,LONG,0.012268277119775146,0.0,810,1,5.507469177246094e-05,False,
8,2020-04-08,LONG,0.5,LONG,0.01850173704413192,0.01850173704413192,636,1,8.0108642578125e-05,True,True
9,2020-05-18,LONG,0.5,LONG,0.01383078343303995,0.01383078343303995,826,1,5.793571472167969e-05,True,True
10,2020-06-24,NEUTRAL,0.5,LONG,0.02114496092778959,0.0,720,1,5.4836273193359375e-05,False,
11,2020-09-08,LONG,0.6579785339993447,LONG,0.020888069042233632,0.020888069042233632,845,1,5.459785461425781e-05,True,True
12,2020-10-28,NEUTRAL,0.5,LONG,0.05167429955077482,0.0,757,1,5.507469177246094e-05,False,
13,2021-03-01,NEUTRAL,0.5,SHORT,-0.020175402797441115,0.0,552,1,5.459785461425781e-05,False,
14,2022-01-28,LONG,0.5,LONG,0.015273191330005154,0.015273191330005154,857,1,5.245208740234375e-05,True,True
15,2022-05-05,NEUTRAL,0.7394842134371116,SHORT,-0.05188364123357949,0.0,782,1,5.364418029785156e-05,False,
16,2022-06-09,NEUTRAL,0.5655764129271369,SHORT,-0.08666310508409218,0.0,740,1,5.2928924560546875e-05,False,
17,2022-06-16,NEUTRAL,0.7439876334491541,LONG,0.06849881140634739,0.0,564,1,5.3882598876953125e-05,False,
18,2022-06-21,SHORT,0.7015899639235622,LONG,0.014877288270255183,-0.014877288270255183,822,1,5.3882598876953125e-05,False,False
19,2022-07-27,NEUTRAL,0.5629708706990901,LONG,0.0334381672391989,0.0,825,1,5.698204040527344e-05,False,
20,2022-10-03,NEUTRAL,0.7394921534770404,SHORT,-0.01797541099439446,0.0,709,1,5.435943603515625e-05,False,
21,2022-10-04,NEUTRAL,0.7459722834151408,SHORT,-0.053522659757496524,0.0,474,1,5.555152893066406e-05,False,
22,2022-10-17,NEUTRAL,0.6392116428701614,LONG,0.0328500008892587,0.0,812,1,5.435943603515625e-05,False,
23,2022-11-10,NEUTRAL,0.7345146485156075,NEUTRAL,-0.0011401179982830573,0.0,584,1,5.5789947509765625e-05,True,
24,2024-11-06,NEUTRAL,0.8416995136251422,LONG,0.010405528535550287,0.0,696,1,5.53131103515625e-05,False,
25,2024-12-18,NEUTRAL,0.5104348125777382,LONG,0.029139717238442803,0.0,592,1,5.340576171875e-05,False,
26,2025-04-10,NEUTRAL,0.5276829947673218,NEUTRAL,0.003488516187889601,0.0,468,1,5.364418029785156e-05,True,
27,2025-04-22,NEUTRAL,0.5318289036329906,LONG,0.05134207858549757,0.0,674,1,5.316734313964844e-05,False,
28,2025-10-10,SHORT,0.5,LONG,0.01741147063534497,-0.01741147063534497,864,1,5.364418029785156e-05,False,False
29,2026-03-31,LONG,0.6494626579702978,LONG,0.03947163306905164,0.03947163306905164,603,1,5.698204040527344e-05,True,True
