event_idx,date,decision,confidence,true_direction,future_5d_return,hypothetical_return,tokens,api_calls,elapsed,exact_match,directional_match
0,2020-03-04,LONG,0.73,SHORT,-0.12305824566541887,-0.12305824566541887,705,1,6.29425048828125e-05,False,False
1,2020-03-05,LONG,0.73,SHORT,-0.17969335850036522,-0.17969335850036522,503,1,4.291534423828125e-05,False,False
2,2020-03-10,NEUTRAL,0.65,SHORT,-0.12350037565505176,0.0,724,1,2.0265579223632812e-05,False,
3,2020-03-13,LONG,0.41,SHORT,-0.14545716734936348,-0.14545716734936348,680,1,1.7404556274414062e-05,False,False
4,2020-03-16,LONG,0.67,SHORT,-0.0649945551350788,-0.0649945551350788,489,1,1.7404556274414062e-05,False,False
5,2020-03-17,LONG,0.69,SHORT,-0.032516623292939695,-0.032516623292939695,665,1,1.7642974853515625e-05,False,False
6,2020-03-23,LONG,0.6,LONG,0.17358120267108024,0.17358120267108024,657,1,6.341934204101562e-05,True,True
7,2020-03-30,NEUTRAL,0.4,LONG,0.012268277119775146,0.0,520,1,2.002716064453125e-05,False,
8,2020-04-08,SHORT,0.55,LONG,0.01850173704413192,-0.01850173704413192,459,1,1.8835067749023438e-05,False,False
9,2020-05-18,LONG,0.74,LONG,0.01383078343303995,0.01383078343303995,457,1,1.7881393432617188e-05,True,True
10,2020-06-24,LONG,0.44,LONG,0.02114496092778959,0.02114496092778959,430,1,1.6689300537109375e-05,True,True
11,2020-09-08,SHORT,0.76,LONG,0.020888069042233632,-0.020888069042233632,554,1,1.9550323486328125e-05,False,False
12,2020-10-28,SHORT,0.46,LONG,0.05167429955077482,-0.05167429955077482,751,1,1.6927719116210938e-05,False,False
13,2021-03-01,LONG,0.53,SHORT,-0.020175402797441115,-0.020175402797441115,571,1,1.6927719116210938e-05,False,False
14,2022-01-28,SHORT,0.79,LONG,0.015273191330005154,-0.015273191330005154,699,1,1.5497207641601562e-05,False,False
15,2022-05-05,LONG,0.43,SHORT,-0.05188364123357949,-0.05188364123357949,673,1,1.5735626220703125e-05,False,False
16,2022-06-09,LONG,0.53,SHORT,-0.08666310508409218,-0.08666310508409218,716,1,1.5735626220703125e-05,False,False
17,2022-06-16,NEUTRAL,0.79,LONG,0.06849881140634739,0.0,418,1,1.5735626220703125e-05,False,
18,2022-06-21,LONG,0.69,LONG,0.014877288270255183,0.014877288270255183,572,1,1.5974044799804688e-05,True,True
19,2022-07-27,LONG,0.56,LONG,0.0334381672391989,0.0334381672391989,564,1,1.5735626220703125e-05,True,True
20,2022-10-03,LONG,0.82,SHORT,-0.01797541099439446,-0.01797541099439446,721,1,1.5735626220703125e-05,False,False
21,2022-10-04,LONG,0.69,SHORT,-0.053522659757496524,-0.053522659757496524,709,1,1.5497207641601562e-05,False,False
22,2022-10-17,NEUTRAL,0.47,LONG,0.0328500008892587,0.0,651,1,3.314018249511719e-05,False,
23,2022-11-10,LONG,0.82,NEUTRAL,-0.0011401179982830573,-0.0011401179982830573,572,1,1.621246337890625e-05,False,
24,2024-11-06,SHORT,0.71,LONG,0.010405528535550287,-0.010405528535550287,730,1,1.5974044799804688e-05,False,False
25,2024-12-18,NEUTRAL,0.5,LONG,0.029139717238442803,0.0,771,1,1.6689300537109375e-05,False,
26,2025-04-10,NEUTRAL,0.58,NEUTRAL,0.003488516187889601,0.0,394,1,1.6927719116210938e-05,True,
27,2025-04-22,LONG,0.82,LONG,0.05134207858549757,0.05134207858549757,411,1,1.5735626220703125e-05,True,True
28,2025-10-10,LONG,0.69,LONG,0.01741147063534497,0.01741147063534497,745,1,1.5974044799804688e-05,True,True
29,2026-03-31,NEUTRAL,0.69,LONG,0.03947163306905164,0.0,580,1,1.5497207641601562e-05,False,
