strategy,low,mid,high
Bollinger-Revert,0.0,0.0,0.0
Buy-and-Hold,5.7583607234106085,5.732293763171893,5.620538999063854
Donchian-Breakout,-0.8927540701476975,-0.9320282707701051,-0.9691564267603451
MACD-Cross,1.3213238625518193,1.3700036878274877,1.3975617765232071
Momentum-20d,5.789080260572052,5.9829886864044735,6.113175396628141
RSI-Mean-Revert,-2.9031920992879825,-3.015677485571351,-3.1036894250350113
Random-Control,-1.4742571182088955,-1.535274657081678,-1.6124673789423958
SMA-Cross-20-50,1.8541874782958043,1.9098200444173363,1.9157098919626365
Volume-Spike,0.0,0.0,0.0
Z-Score-Revert,-0.7362591470815062,-0.7646222621472631,-0.7849317600450523
